molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_type,assay_description,document_chembl_id,document_year
CHEMBL174829,CC(=N)N1CCC(N(CC(C)C(=O)O)c2ccc3nc(C)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,Ki,650.0,nM,6.19,CHEMBL660489,B,In vitro inhibitory activity against human coagulation factor II,CHEMBL1133358,2000
CHEMBL3142553,CN(C)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)cc1,IC50,4000.0,nM,5.4,CHEMBL808337,B,Inhibitory activity against thrombin,CHEMBL1131569,1998
CHEMBL3142750,NC(C(=O)N1CCC[C@H]1C(=O)NCc1cccc(Cl)c1)C(c1ccccc1)c1ccccc1,IC50,12.0,nM,7.92,CHEMBL808337,B,Inhibitory activity against thrombin,CHEMBL1131569,1998
CHEMBL367840,CCc1nc2ccc(OC3CCN(C(C)=N)CC3)cc2n1Cc1ccc2ccc(C(=N)N)cc2c1,Ki,60.0,nM,7.22,CHEMBL660489,B,In vitro inhibitory activity against human coagulation factor II,CHEMBL1133358,2000
CHEMBL176813,CCCc1nc2ccc(OC3CCN(C(C)=N)CC3)cc2n1Cc1ccc2ccc(C(=N)N)cc2c1,Ki,70.0,nM,7.16,CHEMBL660489,B,In vitro inhibitory activity against human coagulation factor II,CHEMBL1133358,2000
CHEMBL172831,CC(=N)N1CCC(N(C(=O)CCC(=O)O)c2ccc3nc(C)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,Ki,5000.0,nM,5.3,CHEMBL660489,B,In vitro inhibitory activity against human coagulation factor II,CHEMBL1133358,2000
CHEMBL3142700,NC(C(=O)N1CCC[C@H]1C(=O)NCc1cccc(Br)c1)C(c1ccccc1)c1ccccc1,IC50,10.0,nM,8.0,CHEMBL808337,B,Inhibitory activity against thrombin,CHEMBL1131569,1998
CHEMBL298122,CCN(C(=O)C1=CCC[C@H]1C(=O)NCc1ccc(C(=N)N)cc1)c1ccccc1,IC50,980.0,nM,6.01,CHEMBL816447,B,In vitro for the inhibition of thrombin,CHEMBL1132927,2000
CHEMBL176636,CC(=N)N1CCC(Oc2ccc3ncn(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,Ki,810.0,nM,6.09,CHEMBL660489,B,In vitro inhibitory activity against human coagulation factor II,CHEMBL1133358,2000
CHEMBL3142675,COc1cccc(OC)c1CNC(=O)[C@@H]1CCCN1C(=O)C(N)C(c1ccccc1)c1ccccc1,IC50,10000.0,nM,5.0,CHEMBL808337,B,Inhibitory activity against thrombin,CHEMBL1131569,1998
CHEMBL325869,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2cnnc3ccccc23)NS(=O)(=O)Cc2ccccc2)C1O,IC50,1770.0,nM,5.75,CHEMBL815798,B,In vitro inhibition of human Thrombin (FIIa).,CHEMBL1131910,1999
CHEMBL425132,CC(=N)N1CCC(Oc2ccc3nc(C(C)(C)C)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,Ki,48.0,nM,7.32,CHEMBL660489,B,In vitro inhibitory activity against human coagulation factor II,CHEMBL1133358,2000
CHEMBL266349,N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1,IC50,4700.0,nM,5.33,CHEMBL816447,B,In vitro for the inhibition of thrombin,CHEMBL1132927,2000
CHEMBL47486,c1ccc(C(Oc2ccc(CNc3ccncc3)cc2)c2ccccc2)cc1,Ki,1300.0,nM,5.89,CHEMBL813565,B,Compound was evaluated for its inhibitory activity against human thrombin,CHEMBL1131365,1998
CHEMBL327093,CC(O)[C@H](NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N)C(=O)N[C@H](C(=O)O)C1CCCCC1,IC50,55.0,nM,7.26,CHEMBL649726,B,Concentration required to inhibit Human alpha-thrombin was determined,CHEMBL1134950,2002
CHEMBL44883,N=C(N)c1ccc(CNC(=O)[C@@H]2CCC=C2C(=O)N2CCCCC2)cc1,IC50,6030.0,nM,5.22,CHEMBL816447,B,In vitro for the inhibition of thrombin,CHEMBL1132927,2000
CHEMBL3142628,COc1cccc(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)c1,IC50,36.0,nM,7.44,CHEMBL808337,B,Inhibitory activity against thrombin,CHEMBL1131569,1998
CHEMBL47102,CCN(CC)C(=O)c1cccc(-c2ccc3c(c2)[C@@H]2[C@@H](CCCCC(=N)N)C(=O)N(C(=O)OCCCc4ccccc4)[C@H]2C3)c1,IC50,130.0,nM,6.89,CHEMBL818157,B,Inhibition of thrombin,CHEMBL1132127,1999
CHEMBL46845,CCN(CC)C(=O)c1cccc(-c2ccc3c(c2)C[C@H]2[C@H]3[C@@H](CCCCC(=N)N)C(=O)N2C(=O)OC)c1,IC50,16.0,nM,7.8,CHEMBL818157,B,Inhibition of thrombin,CHEMBL1132127,1999
CHEMBL101030,O=C1O[C@H]2CCC[C@@H]2[C@@H]1Cc1ccccc1,IC50,73.0,nM,7.14,CHEMBL811074,B,Inhibition of thrombin,CHEMBL1130641,1998
CHEMBL44891,CCN(CC)C(=O)c1cccc(-c2ccc3c(c2)C[C@H]2[C@H]3[C@@H](CCCCC(=N)N)C(=O)N2CCCCCc2ccccc2)c1,IC50,5000.0,nM,5.3,CHEMBL818157,B,Inhibition of thrombin,CHEMBL1132127,1999
CHEMBL102081,O=C1O[C@H]2CCC[C@@H]2[C@H]1Cc1ccccc1,IC50,92.0,nM,7.04,CHEMBL811074,B,Inhibition of thrombin,CHEMBL1130641,1998
CHEMBL341187,N=C(N)c1cccc(C2Oc3ccccc3N(CCCCCN3CCCCC3)C2=O)c1,IC50,3400.0,nM,5.47,CHEMBL809417,B,Inhibition of thrombin,CHEMBL1133480,2000
CHEMBL457155,CC(C)=CC(=O)C[C@H]1C(=O)O[C@H]2C[C@]3(C)C4=CC[C@@H]5[C@](C)(CC[C@H]6OC(=O)[C@@]56C)[C@H]4CC[C@@]3(C)[C@@H]21,IC50,4.0,nM,8.4,CHEMBL811074,B,Inhibition of thrombin,CHEMBL1130641,1998
CHEMBL130420,CC1CCCC(C)N1CCCCCN1C(=O)C(c2ccc(C(=N)N)cc2)Oc2ccccc21,IC50,1700.0,nM,5.77,CHEMBL809417,B,Inhibition of thrombin,CHEMBL1133480,2000
CHEMBL296972,CCN(CC)C(=O)c1cccc(-c2ccc3c(c2)[C@@H]2[C@@H](CCCCC(=N)N)C(=O)N(CCCCCc4ccccc4)[C@H]2C3)c1,IC50,5000.0,nM,5.3,CHEMBL818157,B,Inhibition of thrombin,CHEMBL1132127,1999
CHEMBL295886,CCN(CC)C(=O)c1cccc(-c2ccc3c(c2)[C@@H]2[C@@H](CCCCC(=N)N)C(=O)N(C(=O)OC)[C@H]2C3)c1,IC50,50.0,nM,7.3,CHEMBL818157,B,Inhibition of thrombin,CHEMBL1132127,1999
CHEMBL45032,CCNC(=O)N1C(=O)[C@H](CCCCC(=N)N)[C@H]2c3cc(-c4cccc(C(=O)N(CC)CC)c4)ccc3C[C@@H]21,IC50,3000.0,nM,5.52,CHEMBL818157,B,Inhibition of thrombin,CHEMBL1132127,1999
CHEMBL296764,CCNC(=O)N1C(=O)[C@H](CCCCC(=N)N)[C@H]2c3ccc(-c4cccc(C(=O)N(CC)CC)c4)cc3C[C@@H]21,IC50,5600.0,nM,5.25,CHEMBL818157,B,Inhibition of thrombin,CHEMBL1132127,1999
CHEMBL297169,CCN(CC)C(=O)c1cccc(-c2ccc3c(c2)[C@@H]2[C@@H](CCCCC(=N)N)C(=O)N(S(=O)(=O)c4ccccc4)[C@H]2C3)c1,IC50,16.0,nM,7.8,CHEMBL818157,B,Inhibition of thrombin,CHEMBL1132127,1999
CHEMBL133326,CC1CCCC(C)N1CCCCCN1C(=O)C(c2cccc(C(=N)N)c2)Oc2ccccc21,IC50,890.0,nM,6.05,CHEMBL883500,B,Compound was tested for in vitro inhibitory activity against trypsin,CHEMBL1133480,2000
CHEMBL130313,CC1CCCC(C)N1CCCCN1C(=O)C(c2cccc(C(=N)N)c2)Oc2ccccc21,IC50,1100.0,nM,5.96,CHEMBL809417,B,Inhibition of thrombin,CHEMBL1133480,2000
CHEMBL133328,CCCCCCN(CCCCCC)CCCCCN1C(=O)C(c2cccc(C(=N)N)c2)Oc2ccccc21,IC50,1900.0,nM,5.72,CHEMBL809417,B,Inhibition of thrombin,CHEMBL1133480,2000
CHEMBL323543,CC(=O)O.N=C(N)CCCC[C@H]1C(=O)O[C@H]2CCC[C@@H]21,IC50,130.0,nM,6.89,CHEMBL811074,B,Inhibition of thrombin,CHEMBL1130641,1998
CHEMBL352119,COC(=O)c1ccccc1CS(=O)(=O)N[C@H](CC1CCCN(C(=N)N)C1)C(=O)NCC(=O)N[C@H]1CCCN(C(=N)N)C1O.O=C(O)C(F)(F)F,IC50,1100.0,nM,5.96,CHEMBL815805,B,In vitro inhibition of human thrombin.,CHEMBL1133331,2000
CHEMBL130569,CC1CCC(C)N1CCCCCN1C(=O)C(c2cccc(C(=N)N)c2)Oc2ccccc21,IC50,910.0,nM,6.04,CHEMBL809417,B,Inhibition of thrombin,CHEMBL1133480,2000
CHEMBL100989,O=C1O[C@H]2CCC[C@@H]2[C@@H]1Sc1ccccc1,IC50,10.0,nM,8.0,CHEMBL811074,B,Inhibition of thrombin,CHEMBL1130641,1998
CHEMBL1160894,C[C@H]1CNc2cc(S(=O)(=O)N[C@H](CCCNC(=N)N)C(=O)N3CCCCC3C(=O)O)ccc2C1,Ki,19.0,nM,7.72,CHEMBL814970,B,Inhibitory activity against thrombin,CHEMBL1132353,1999
CHEMBL318001,CC(C)=CC(=O)C[C@@H]1C(=O)O[C@H]2CCCC21,IC50,19.0,nM,7.72,CHEMBL811074,B,Inhibition of thrombin,CHEMBL1130641,1998
