molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_type,assay_description,document_chembl_id,document_year
CHEMBL327320,Oc1cccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCC3)cc2)c1,IC50,1.0,nM,9.0,CHEMBL677478,B,Binding affinity for human estrogen receptor alpha,CHEMBL1146804,2004
CHEMBL304552,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,IC50,0.8,nM,9.1,CHEMBL677478,B,Binding affinity for human estrogen receptor alpha,CHEMBL1146804,2004
CHEMBL331996,Oc1ccc([C@H]2Sc3cc(O)ccc3S[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,IC50,21.0,nM,7.68,CHEMBL677478,B,Binding affinity for human estrogen receptor alpha,CHEMBL1146804,2004
CHEMBL341367,Oc1cccc([C@H]2Sc3cc(O)ccc3S[C@H]2c2ccc(OCCN3CCCCC3)cc2)c1,IC50,15.0,nM,7.82,CHEMBL677478,B,Binding affinity for human estrogen receptor alpha,CHEMBL1146804,2004
CHEMBL125362,Oc1cccc([C@H]2Sc3cc(O)ccc3S[C@H]2c2ccc(OCCN3CCCCC3)c(Br)c2)c1,IC50,4.0,nM,8.4,CHEMBL677478,B,Binding affinity for human estrogen receptor alpha,CHEMBL1146804,2004
CHEMBL124482,Oc1ccc([C@H]2Sc3cc(O)ccc3S[C@H]2c2ccc(OCCN3CCCCC3)c(Br)c2)cc1,IC50,5.0,nM,8.3,CHEMBL677478,B,Binding affinity for human estrogen receptor alpha,CHEMBL1146804,2004
CHEMBL123025,Oc1ccc([C@H]2Sc3cc(O)ccc3S[C@H]2c2ccc(OCCN3CCCC3)c(Br)c2)cc1,IC50,4.0,nM,8.4,CHEMBL677478,B,Binding affinity for human estrogen receptor alpha,CHEMBL1146804,2004
CHEMBL93705,Oc1cccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)c1,IC50,4.0,nM,8.4,CHEMBL677478,B,Binding affinity for human estrogen receptor alpha,CHEMBL1146804,2004
CHEMBL152993,CN1CCN(c2nc(NCCc3ccc(O)cc3)nc(SCCCc3ccccc3)n2)CC1,Ki,270.0,nM,6.57,CHEMBL682301,B,In vitro binding affinity towards human Estrogen receptor alpha using [3H]17-beta-estradiol as radioligand,CHEMBL1135674,2002
CHEMBL135,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,EC50,0.49,nM,9.31,CHEMBL712011,F,Agonist activity in transcriptional activation assay in MCF-7-2a cells compared to estradiol E2,CHEMBL1135523,2002
CHEMBL155044,CN(CCCc1ccc(Cl)cc1)c1nc(NCCc2ccc(O)cc2)nc(N2CCN(Cc3ccncc3)CC2)n1,Ki,810.0,nM,6.09,CHEMBL682301,B,In vitro binding affinity towards human Estrogen receptor alpha using [3H]17-beta-estradiol as radioligand,CHEMBL1135674,2002
CHEMBL153245,CN(CCCc1ccc(Cl)cc1)c1nc(NCCc2ccc(O)cc2)nc(N2CCN(C(=O)Nc3ccc(Cl)cc3)CC2)n1,Ki,855.0,nM,6.07,CHEMBL682301,B,In vitro binding affinity towards human Estrogen receptor alpha using [3H]17-beta-estradiol as radioligand,CHEMBL1135674,2002
CHEMBL150356,Oc1ccc(CCNc2nc(NCCc3ccccc3)nc(N3CCNCC3)n2)cc1,Ki,2370.0,nM,5.62,CHEMBL682301,B,In vitro binding affinity towards human Estrogen receptor alpha using [3H]17-beta-estradiol as radioligand,CHEMBL1135674,2002
CHEMBL153407,CN(CCCc1ccc(C(F)(F)F)cc1)c1nc(NCCc2ccc(O)cc2)nc(N2CCNCC2)n1,Ki,480.0,nM,6.32,CHEMBL682301,B,In vitro binding affinity towards human Estrogen receptor alpha using [3H]17-beta-estradiol as radioligand,CHEMBL1135674,2002
CHEMBL150879,CN(C)C(=O)CN1CCN(c2nc(NCCc3ccc(O)cc3)nc(N(C)CCCc3ccc(Cl)cc3)n2)CC1,Ki,3000.0,nM,5.52,CHEMBL682301,B,In vitro binding affinity towards human Estrogen receptor alpha using [3H]17-beta-estradiol as radioligand,CHEMBL1135674,2002
CHEMBL153211,CN1CCN(c2nc(NCCCc3ccccc3)nc(NCc3ccc(O)cc3)n2)CC1,Ki,5130.0,nM,5.29,CHEMBL682301,B,In vitro binding affinity towards human Estrogen receptor alpha using [3H]17-beta-estradiol as radioligand,CHEMBL1135674,2002
CHEMBL153709,Oc1ccc(CCNc2nc(NCCCc3ccc(Cl)cc3)nc(N3CCNCC3)n2)cc1,Ki,200.0,nM,6.7,CHEMBL682301,B,In vitro binding affinity towards human Estrogen receptor alpha using [3H]17-beta-estradiol as radioligand,CHEMBL1135674,2002
CHEMBL154988,CN1CCN(c2nc(NCCc3ccc(O)cc3)nc(N(C)CCCc3ccc(Cl)cc3)n2)CC1,Ki,145.0,nM,6.84,CHEMBL682301,B,In vitro binding affinity towards human Estrogen receptor alpha using [3H]17-beta-estradiol as radioligand,CHEMBL1135674,2002
CHEMBL153471,CN(CCCc1ccc(Cl)cc1)c1nc(NCCc2ccc(O)cc2)nc(N2CCN(Cc3cccnc3)CC2)n1,Ki,475.0,nM,6.32,CHEMBL682301,B,In vitro binding affinity towards human Estrogen receptor alpha using [3H]17-beta-estradiol as radioligand,CHEMBL1135674,2002
CHEMBL81,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,IC50,0.7,nM,9.15,CHEMBL679892,B,In vitro inhibition of transcriptional activation induced by 1 nM 17-beta estradiol in T47D cells expressing estrogen receptor alpha,CHEMBL1135674,2002
CHEMBL153303,CN1CCN(c2nc(NCCCc3ccccc3)nc(NC3CCc4cc(O)ccc4C3)n2)CC1,Ki,1000.0,nM,6.0,CHEMBL682301,B,In vitro binding affinity towards human Estrogen receptor alpha using [3H]17-beta-estradiol as radioligand,CHEMBL1135674,2002
CHEMBL153115,CN(CCCc1ccc(F)c(F)c1)c1nc(NCCc2ccc(O)cc2)nc(N2CCNCC2)n1,Ki,200.0,nM,6.7,CHEMBL682301,B,In vitro binding affinity towards human Estrogen receptor alpha using [3H]17-beta-estradiol as radioligand,CHEMBL1135674,2002
CHEMBL153113,CN(CCCc1ccc(Cl)cc1)c1nc(NCCc2ccc(O)cc2)nc(N2CCN(c3ccccc3)CC2)n1,Ki,6320.0,nM,5.2,CHEMBL682301,B,In vitro binding affinity towards human Estrogen receptor alpha using [3H]17-beta-estradiol as radioligand,CHEMBL1135674,2002
CHEMBL358938,CN(CCCc1ccc(Cl)cc1)c1nc(NCCc2ccc(O)cc2)nc(N2CCN(CC(=O)c3ccccc3)CC2)n1,Ki,2040.0,nM,5.69,CHEMBL682301,B,In vitro binding affinity towards human Estrogen receptor alpha using [3H]17-beta-estradiol as radioligand,CHEMBL1135674,2002
CHEMBL153359,CN(CCCc1ccc(C#N)cc1)c1nc(NCCc2ccc(O)cc2)nc(N2CCNCC2)n1,Ki,570.0,nM,6.24,CHEMBL682301,B,In vitro binding affinity towards human Estrogen receptor alpha using [3H]17-beta-estradiol as radioligand,CHEMBL1135674,2002
