molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_type,assay_description,document_chembl_id,document_year
CHEMBL421566,COC(=O)c1cc(-c2cccc(Cl)c2)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2,IC50,67.0,nM,7.17,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
CHEMBL94444,O=C(c1cc(-c2ccccc2Cl)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2)N1CCNCC1,IC50,1.5,nM,8.82,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
CHEMBL327959,O=C1NCc2c(-c3ccc(F)cc3Cl)cc(OC3CCNCC3)cc2N1c1c(Cl)cccc1Cl,IC50,0.1,nM,10.0,CHEMBL734090,B,Inhibitory activity against mitogen-activated protein kinase p38 alpha,CHEMBL1136271,2003
CHEMBL340687,O=C1NCc2nc(Sc3ccccc3Cl)ccc2N1c1c(Cl)cccc1Cl,IC50,515.0,nM,6.29,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL128414,O=C(O)c1cc(Cl)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,IC50,96.0,nM,7.02,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL129375,COC(=O)c1cc(C)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,IC50,36.0,nM,7.44,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL443285,Cc1ccccc1Sc1ccc2c(n1)CNC(=O)N2c1c(Cl)cccc1Cl,IC50,110.0,nM,6.96,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL128686,CC(=O)c1cc(C)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,IC50,47.0,nM,7.33,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL128781,O=C1NCc2nc(Sc3ccc(F)cc3)ccc2N1c1c(F)cccc1Cl,IC50,48.0,nM,7.32,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL339095,COc1ccccc1Sc1ccc2c(n1)CNC(=O)N2c1c(Cl)cccc1Cl,IC50,1990.0,nM,5.7,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL127275,Cc1cc([N+](=O)[O-])cc(Cl)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21,IC50,66.0,nM,7.18,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL434434,CN(C)CCNC(=O)c1cc(Cl)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,IC50,80.0,nM,7.1,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL128756,Cc1cccc(Cl)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21,IC50,54.0,nM,7.27,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL128756,Cc1cccc(Cl)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21,IC50,19.0,nM,7.72,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL128516,Cc1ccccc1N1C(=O)NCc2nc(Sc3ccc(F)cc3Cl)ccc21,IC50,180.0,nM,6.75,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL128239,Nc1cc(F)ccc1Sc1ccc2c(n1)CNC(=O)N2c1c(Cl)cccc1Cl,IC50,200.0,nM,6.7,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL128440,O=C1NCc2nc(Sc3ccc(Cl)cc3Cl)ccc2N1c1c(Cl)cccc1Cl,IC50,32.0,nM,7.5,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL340742,O=C1NCc2nc(Sc3ccccc3C(F)(F)F)ccc2N1c1c(Cl)cccc1Cl,IC50,1850.0,nM,5.73,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL129380,O=C1NCc2nc(Sc3ccc(F)cc3)ccc2N1c1ccccc1,IC50,600.0,nM,6.22,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL340687,O=C1NCc2nc(Sc3ccccc3Cl)ccc2N1c1c(Cl)cccc1Cl,IC50,94.0,nM,7.03,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL129174,Cc1cccc(C)c1Sc1ccc2c(n1)CNC(=O)N2c1c(Cl)cccc1Cl,IC50,260.0,nM,6.58,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL341364,COc1cccc(C)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21,IC50,100.0,nM,7.0,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL423517,O=C1NCc2nc(NCc3ccc(F)cc3F)ccc2N1c1c(Cl)cccc1Cl,IC50,340.0,nM,6.47,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL129112,COC(=O)c1cccc(Cl)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21,IC50,80.0,nM,7.1,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL129628,COC(=O)c1cc(Cl)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,IC50,9.0,nM,8.05,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL129305,O=C1NCc2nc(Sc3ccc(F)cc3)ccc2N1c1c(Cl)cccc1C(F)(F)F,IC50,110.0,nM,6.96,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL129446,O=C1NCc2nc(Sc3cccc(C(F)(F)F)c3)ccc2N1c1c(Cl)cccc1Cl,IC50,1815.0,nM,5.74,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL129704,CCc1cccc(Cl)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21,IC50,38.0,nM,7.42,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL92788,O=C1NCc2nc(Sc3ccc(F)cc3F)ccc2N1c1c(Cl)cccc1Cl,IC50,25.0,nM,7.6,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL340377,O=C1NCc2nc(Sc3ccccc3F)ccc2N1c1c(Cl)cccc1Cl,IC50,450.0,nM,6.35,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL129720,NC(=O)Oc1cc(Cl)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,IC50,23.0,nM,7.64,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL338612,O=C1NCc2nc(Sc3ccc(F)cc3)ccc2N1c1ccccc1Cl,IC50,69.0,nM,7.16,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL128257,Nc1ccccc1Sc1ccc2c(n1)CNC(=O)N2c1c(Cl)cccc1Cl,IC50,1420.0,nM,5.85,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL335878,O=C1NCc2nc(NCc3ccccc3)ccc2N1c1c(Cl)cccc1Cl,IC50,113.0,nM,6.95,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL128813,O=C1NCc2nc(Sc3ccc(F)cc3Cl)ccc2N1c1c(Cl)cccc1Cl,IC50,11.0,nM,7.96,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL131194,O=C1NCc2nc(Sc3ccccc3Br)ccc2N1c1c(Cl)cccc1Cl,IC50,120.0,nM,6.92,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL128515,O=C1NCc2nc(Sc3ccc(F)cc3)ccc2N1c1c(Cl)cc(C(F)(F)F)cc1Cl,IC50,230.0,nM,6.64,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL92788,O=C1NCc2nc(Sc3ccc(F)cc3F)ccc2N1c1c(Cl)cccc1Cl,IC50,25.0,nM,7.6,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL129659,O=C1NCc2nc(Sc3cc(Cl)ccc3Cl)ccc2N1c1c(Cl)cccc1Cl,IC50,350.0,nM,6.46,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL130076,O=C1NCc2nc(Sc3cccc(Cl)c3)ccc2N1c1c(Cl)cccc1Cl,IC50,2190.0,nM,5.66,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL341029,O=C1NCc2nc(Sc3c(Cl)cccc3Cl)ccc2N1c1c(Cl)cccc1Cl,IC50,49.0,nM,7.31,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL129775,CC(=O)c1cc(Cl)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,IC50,16.0,nM,7.8,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL131176,O=C1NCc2nc(Sc3ccccc3)ccc2N1c1c(Cl)cccc1Cl,IC50,270.0,nM,6.57,CHEMBL735052,B,Inhibitory activity against Mitogen-activated protein kinase p38 alpha,CHEMBL1136354,2003
CHEMBL275367,Cn1cnc2c(N(C(N)=O)c3c(F)cccc3F)nc(-c3ccc(F)cc3)nc21,IC50,1000.0,nM,6.0,CHEMBL731491,B,Inhibition of human MAP p38-alpha kinase in vitro.,CHEMBL1136664,2003
CHEMBL95206,CC(C)N1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(N)n2)CC1,IC50,170.0,nM,6.77,CHEMBL735050,B,Inhibition against Mitogen-activated protein kinase p38 alpha,CHEMBL1134743,2001
CHEMBL18304,Cc1cc(F)ccc1-c1nc(N(C(N)=O)c2c(F)cc(F)cc2F)c2ncn(C)c2n1,IC50,163.0,nM,6.79,CHEMBL731491,B,Inhibition of human MAP p38-alpha kinase in vitro.,CHEMBL1136664,2003
CHEMBL329447,CNc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCN(C)CC2)n1,IC50,100.0,nM,7.0,CHEMBL735050,B,Inhibition against Mitogen-activated protein kinase p38 alpha,CHEMBL1134743,2001
CHEMBL18392,Cc1ccccc1-c1nc(N(C(N)=O)c2c(F)cccc2F)c2ncn(C)c2n1,IC50,140.0,nM,6.85,CHEMBL731491,B,Inhibition of human MAP p38-alpha kinase in vitro.,CHEMBL1136664,2003
